Rank,Name,Position,Bye,Value
180,Dolphins D/ST,DST,11,0
181,Justiin Tucker,K,10,1
182,Evan McPherson,K,10,1
183,Matt Gay,K,7,1
184,Harrison Butker,K,8,1
185,Damiel Carlson,K,6,1
186,Brandon McManus,K,9,1
187,Nick Folk,K,10,1
188,Tyler Bass,K,7,1
189,Matt Prater,K,13,1
190,Graham Gano,K,9,1
191,Greg Joseph,K,7,0
192,Jake Elliot,K,7,0
193,Khalil Herbert,RB,14,0
194,Tyler Allgeier,RB,14,0
195,Brian Robinson Jr.,RB,14,0
196,Isiah Pacheco,RB,8,0
197,Rachaad White,RB,11,0
198,George Pickens,WR,9,0
199,Rex Burkhead,RB,6,0
200,Sony Michel,RB,11,0
201,Darrel Williams,RB,13,0
202,Jerick McKinnon,RB,8,0
203,Van Jefferson,WR,7,0
204,Curtis Samuel,WR,14,0
205,Wan'Dale Robinson,WR,9,0
206,Mitchell Trubisky,QB,9,0
207,Jacoby Brissett,QB,9,0
208,Geno Smith,QB,11,0
209,Desmond Ridder,QB,14,0
210,Christian Watson,WR,14,0
211,Jameson Williams,WR,6,0
212,Alec Pierce,WR,14,0
213,Ronald Jones II,RB,8,0
214,Mark Ingram II,RB,14,0
215,Kenyan Drake,RB,6,0
216,Zamir White,RB,6,0
217,Chuba Hubbard,RB,13,0
218,D'Onta Foreman,RB,13,0
219,Hassan Haskins,RB,6,0
220,Tyrion Davis-Price,RB,9,0
221,D'Ernest Johnson,RB,9,0
222,Gus Edwards,RB,10,0
223,Damien Williams,RB,14,0
224,Samaje Perine,RB,10,0
225,Austin Hooper,TE,6,0
226,Hayden Hurst,TE,10,0
227,Isaiah McKenzie,WR,7,0
228,Cedrick Wilson,WR,11,0
229,Jimmy Garoppolo,QB,9,0
230,Sam Darnold,QB,13,0
231,Jamison Crowder,WR,7,0
232,Kendrick Bourne,WR,10,0
233,Romeo Doubs,WR,14,0
234,KJ Hamler,WR,9,0
235,Albert Okwuegbunam,TE,9,0
236,Browns D/ST,DST,9,0
237,Patriots D/ST,DST,10,0
238,Robbie Gould,K,9,0
239,Ryan Succop,K,11,0
240,Velus Jones Jr.,WR,14,0
241,Nick Westbrook-Ikhine,WR,6,0
242,K.J. Osborn,WR,7,0
243,Odell Beckham Jr.,WR,0,0
244,Sterling Shepard,WR,9,0
245,Randall Cobb,WR,14,0
246,Corey Davis,WR,10,0
247,A.J. Green,WR,13,0
248,Chris Conley,WR,6,0
249,Devin Duvernay,WR,10,0
250,Dontrell Hilliard,RB,6,0
251,Matt Breida,RB,9,0
252,Boston Scott,RB,7,0
253,Ty Montgomery,RB,10,0
254,Chris Evans,RB,10,0
255,Ke'Shawn Vaughn,RB,11,0
256,Ameer Abdullah,RB,6,0
257,Deejay Dallas,RB,11,0
258,Gerald Everett,TE,8,0
259,Logan Thomas,TE,14,0
260,Robert Tonyan,TE,14,0
261,Teddy Bridgewater,QB,11,0
262,Gardner Minshew II,QB,7,0
263,Mo Alie-Cox,TE,14,0
264,Mike Davis,RB,10,0
265,Parris Campbell,WR,14,0
266,D'Wayne Eskridge,WR,11,0
267,Bengals D/ST,DST,10,0
268,Eagles D/ST,DST,7,0
269,Dustin Hopkins,K,8,0
270,Mason Crosby,K,14,0
271,Brevin Jordan,TE,6,0
272,C.J. Uzomah,TE,10,0
273,Tyler Conklin,TE,10,0
274,Sammy Watkins,WR,14,0
275,Donovan Peoples-Jones,WR,9,0
276,Braxton Berrios,WR,10,0
277,Terrace Marshall Jr.,WR,13,0
278,Joshua Kelley,RB,8,0
279,Eno Benjamin,RB,13,0
280,Bryan Edwards,WR,14,0
281,Zay Jones,WR,11,0
282,James Washington,WR,9,0
283,Byron Pringle,WR,14,0
284,Jauan Jennings,WR,9,0
285,Justin Jackson,RB,6,0
286,Benny Snell Jr.,RB,9,0
287,Jeff Wilson Jr.,RB,9,0
288,Giovani Bernard,RB,11,0
289,Dwayne Washington,RB,14,0
290,Rico Dowdle,RB,9,0
291,Snoop Conner,RB,11,0
292,Kene Nwangwu,RB,7,0
293,Anthony Schwartz,WR,9,0
294,Rams D/ST,DST,7,0
295,Titans D/ST,DST,9,0
296,Chris Boswell,K,9,0
297,Younghoe Koo,K,14,0
298,Tommy Tremble,TE,13,0
299,Kyle Rudolph,TE,11,0
300,Jonnu Smith,TE,10,0
